項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
12511,台灣迪卡儂有限公司內湖營業所(台灣迪卡儂有限公司台北內湖店),臺北市,內湖區,臺北市內湖區新湖路1段128巷36號1樓,水瓶,114/9/15,食品器具容器包裝衛生標準(塑膠類),合格,,,
12512,台灣大創百貨股份有限公司,臺北市,士林區,臺北市士林區忠誠路2段55號12樓,矽膠保鮮膜,114/9/17,食品器具容器包裝衛生標準(塑膠類),合格,,,
12513,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,樂扣樂扣莫蘭迪雙面PP料理砧板,114/9/15,食品器具容器包裝衛生標準(塑膠類),合格,,,
12611,台灣迪卡儂有限公司內湖營業所(台灣迪卡儂有限公司台北內湖店),臺北市,內湖區,臺北市內湖區新湖路1段128巷36號1樓,水瓶,114/9/15,標示,合格,,,
12612,台灣大創百貨股份有限公司(DAISO),臺北市,士林區,臺北市士林區忠誠路2段55號12樓,矽膠保鮮膜,114/9/17,標示,合格,,,
12613,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,4.5吋紙碗,114/9/15,標示,合格,,,
12614,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,9吋印花紙盤-10入,114/9/15,標示,合格,,,
12615,高佳林實業股份有限公司,臺北市,內湖區,臺北市內湖區新湖一路89號3樓,樂扣樂扣莫蘭迪雙面PP料理砧板,114/9/15,標示,不合格,違反食安法第26條規定，依同法第47條裁處,30000,
12618,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,攜帶式透明水壺/800mL,114/9/15,標示,合格,,,
12619,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,攜帶式透明隨行杯/540mL,114/9/15,標示,合格,,,
12620,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,附扣透明保存容器/1.94L,114/9/15,標示,合格,,,
12719,捍陞有限公司,臺北市,北投區,臺北市北投區承德路7段352號5F,"不沾披薩(圓型)烤盤(8"")",114/9/4,標示,不合格,違反食安法第26條規定，依同法第47條裁處,30000,
12757,台灣迪卡儂有限公司內湖營業所(台灣迪卡儂有限公司台北內湖店),臺北市,內湖區,臺北市內湖區新湖路1段128巷36號1樓,水瓶,114/9/15,標示,合格,,,
12758,台灣大創百貨股份有限公司(DAISO),臺北市,士林區,臺北市士林區忠誠路2段55號12樓,矽膠保鮮膜,114/9/17,標示,合格,,,
12759,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,4.5吋紙碗,114/9/15,標示,合格,,,
12760,遠百企業股份有限公司景美分公司(愛買景美店),臺北市,文山區,臺北市文山區景中街30巷12號1至2樓,9吋印花紙盤-10入,114/9/15,標示,合格,,,
12761,高佳林實業股份有限公司,臺北市,內湖區,臺北市內湖區新湖一路89號3樓,樂扣樂扣莫蘭迪雙面PP料理砧板,114/9/15,標示,不合格,違反食安法第26條規定，依同法第47條裁處,30000,
12764,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,攜帶式透明水壺/800mL,114/9/15,標示,合格,,,
12765,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,攜帶式透明隨行杯/540mL,114/9/15,標示,合格,,,
12766,台灣無印良品股份有限公司(無印良品南西門市),臺北市,松山區,臺北市松山區八德路4段760號13樓,附扣透明保存容器/1.94L,114/9/15,標示,合格,,,
12865,捍陞有限公司,臺北市,北投區,臺北市北投區承德路7段352號5F,"不沾披薩(圓型)烤盤(8"")",114/9/4,標示,不合格,違反食安法第26條規定，依同法第47條裁處,30000,
12881,人禾商行,臺北市,信義區,臺北市信義區忠孝東路5段394號,澎湖鮮凍去殼牡蠣,114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12882,棉花田生機園地股份有限公司東湖門市,臺北市,內湖區,臺北市內湖區東湖路126號,產銷履歷午仔魚三去,114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12883,永豐餘生技股份有限公司永春分公司,臺北市,信義區,臺北市信義區忠孝東路5段439號,現撈野生午仔(中),114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12884,泉勝科技股份有限公司公館門市,臺北市,中正區,臺北市中正區辛亥路1段10號,養殖香魚整隻(母),114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
